Date : 2025-04-15 22:55:55
Directory : /home/saransh/Projects/Cypherrock
Total : 3927 files,  693559 codes, 78553 comments, 103649 blanks, all 875761 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      1,087 |    164,783 |     11,167 |     34,184 |    210,134 |
| C                |        573 |    158,797 |     32,651 |     26,845 |    218,293 |
| Rust             |        389 |    138,894 |     14,558 |     21,685 |    175,137 |
| JSON             |        740 |    127,718 |          0 |        744 |    128,462 |
| C++              |        767 |     62,341 |     19,584 |     11,172 |     93,097 |
| Protocol Buffers |         72 |     16,064 |          0 |      1,726 |     17,790 |
| Markdown         |        162 |     14,364 |         12 |      5,536 |     19,912 |
| YAML             |         25 |      3,755 |        209 |        249 |      4,213 |
| Makefile         |         36 |      1,805 |         54 |        521 |      2,380 |
| toml             |          1 |      1,631 |          0 |        170 |      1,801 |
| Shell Script     |         40 |        942 |        164 |        306 |      1,412 |
| XML              |          6 |        900 |          2 |          3 |        905 |
| JavaScript       |          3 |        401 |         50 |         92 |        543 |
| reStructuredText |          3 |        347 |         49 |        216 |        612 |
| Ruby             |          6 |        330 |          3 |        105 |        438 |
| CSS              |          1 |        135 |          8 |         29 |        172 |
| Perl             |          1 |        101 |          2 |          8 |        111 |
| Ini              |          2 |         73 |          0 |          6 |         79 |
| Properties       |          2 |         63 |         18 |          6 |         87 |
| Docker           |          5 |         59 |         21 |         36 |        116 |
| HTML             |          1 |         24 |          1 |          1 |         26 |
| kconfig          |          1 |         12 |          0 |          2 |         14 |
| pip requirements |          1 |          8 |          0 |          1 |          9 |
| CMake            |          1 |          7 |          0 |          4 |         11 |
| Ignore           |          2 |          5 |          0 |          2 |          7 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                         |      3,927 |    693,559 |     78,553 |    103,649 |    875,761 |
| . (Files)                                                                                                                                                 |          3 |         13 |          0 |          8 |         21 |
| include                                                                                                                                                   |          6 |         70 |          0 |         33 |        103 |
| include (Files)                                                                                                                                           |          2 |          5 |          0 |          3 |          8 |
| include/mascot                                                                                                                                            |          4 |         65 |          0 |         30 |         95 |
| src                                                                                                                                                       |          3 |        110 |          0 |         41 |        151 |
| src/mascot                                                                                                                                                |          3 |        110 |          0 |         41 |        151 |
| trezor-firmware                                                                                                                                           |      3,915 |    693,366 |     78,553 |    103,567 |    875,486 |
| trezor-firmware (Files)                                                                                                                                   |         14 |      2,390 |         54 |        366 |      2,810 |
| trezor-firmware/.clusterfuzzlite                                                                                                                          |          3 |         11 |          1 |          3 |         15 |
| trezor-firmware/.github                                                                                                                                   |         16 |      1,448 |         86 |         94 |      1,628 |
| trezor-firmware/.github (Files)                                                                                                                           |          1 |          0 |         12 |          1 |         13 |
| trezor-firmware/.github/ISSUE_TEMPLATE                                                                                                                    |          4 |         48 |          0 |         16 |         64 |
| trezor-firmware/.github/actions                                                                                                                           |          3 |         95 |          2 |          5 |        102 |
| trezor-firmware/.github/actions/environment                                                                                                               |          1 |         20 |          0 |          1 |         21 |
| trezor-firmware/.github/actions/ui-comment                                                                                                                |          1 |         23 |          0 |          2 |         25 |
| trezor-firmware/.github/actions/ui-report                                                                                                                 |          1 |         52 |          2 |          2 |         56 |
| trezor-firmware/.github/workflows                                                                                                                         |          8 |      1,305 |         72 |         72 |      1,449 |
| trezor-firmware/ci                                                                                                                                        |         28 |      3,072 |        161 |        449 |      3,682 |
| trezor-firmware/ci (Files)                                                                                                                                |         13 |      2,552 |        139 |        224 |      2,915 |
| trezor-firmware/ci/common_sync                                                                                                                            |          1 |          9 |          8 |          9 |         26 |
| trezor-firmware/ci/hardware_tests                                                                                                                         |         11 |        485 |         12 |        208 |        705 |
| trezor-firmware/ci/hardware_tests (Files)                                                                                                                 |          4 |        271 |          7 |        146 |        424 |
| trezor-firmware/ci/hardware_tests/device                                                                                                                  |          3 |        130 |          2 |         30 |        162 |
| trezor-firmware/ci/hardware_tests/tpmb                                                                                                                    |          4 |         84 |          3 |         32 |        119 |
| trezor-firmware/ci/hardware_tests/tpmb (Files)                                                                                                            |          2 |         19 |          0 |         13 |         32 |
| trezor-firmware/ci/hardware_tests/tpmb/arduino                                                                                                            |          1 |         59 |          3 |         16 |         78 |
| trezor-firmware/ci/hardware_tests/tpmb/model                                                                                                              |          1 |          6 |          0 |          3 |          9 |
| trezor-firmware/ci/pyright                                                                                                                                |          3 |         26 |          2 |          8 |         36 |
| trezor-firmware/common                                                                                                                                    |        185 |     35,010 |        103 |      1,226 |     36,339 |
| trezor-firmware/common (Files)                                                                                                                            |          2 |         23 |          0 |          5 |         28 |
| trezor-firmware/common/defs                                                                                                                               |        101 |      7,444 |          0 |        134 |      7,578 |
| trezor-firmware/common/defs (Files)                                                                                                                       |          4 |        926 |          0 |         37 |        963 |
| trezor-firmware/common/defs/bitcoin                                                                                                                       |         57 |      2,559 |          0 |         57 |      2,616 |
| trezor-firmware/common/defs/ethereum                                                                                                                      |          2 |        230 |          0 |          2 |        232 |
| trezor-firmware/common/defs/fido                                                                                                                          |         35 |        262 |          0 |         35 |        297 |
| trezor-firmware/common/defs/misc                                                                                                                          |          1 |        107 |          0 |          1 |        108 |
| trezor-firmware/common/defs/nem                                                                                                                           |          1 |         85 |          0 |          1 |         86 |
| trezor-firmware/common/defs/solana                                                                                                                        |          1 |      3,275 |          0 |          1 |      3,276 |
| trezor-firmware/common/keys                                                                                                                               |          2 |          6 |          4 |          2 |         12 |
| trezor-firmware/common/protob                                                                                                                             |         24 |      4,563 |          4 |        515 |      5,082 |
| trezor-firmware/common/tests                                                                                                                              |         46 |     21,140 |          0 |         47 |     21,187 |
| trezor-firmware/common/tests/fixtures                                                                                                                     |         46 |     21,140 |          0 |         47 |     21,187 |
| trezor-firmware/common/tests/fixtures/cardano                                                                                                             |         23 |     14,896 |          0 |         23 |     14,919 |
| trezor-firmware/common/tests/fixtures/ethereum                                                                                                            |         11 |      1,931 |          0 |         11 |      1,942 |
| trezor-firmware/common/tests/fixtures/solana                                                                                                              |         10 |      3,237 |          0 |         11 |      3,248 |
| trezor-firmware/common/tests/fixtures/stellar                                                                                                             |          2 |      1,076 |          0 |          2 |      1,078 |
| trezor-firmware/common/tools                                                                                                                              |          7 |      1,792 |         90 |        500 |      2,382 |
| trezor-firmware/common/udev                                                                                                                               |          3 |         42 |          5 |         23 |         70 |
| trezor-firmware/common/udev/dist                                                                                                                          |          3 |         42 |          5 |         23 |         70 |
| trezor-firmware/core                                                                                                                                      |      2,091 |    319,396 |     40,872 |     49,764 |    410,032 |
| trezor-firmware/core (Files)                                                                                                                              |         13 |      4,610 |         28 |      1,120 |      5,758 |
| trezor-firmware/core/embed                                                                                                                                |        898 |    134,711 |     27,891 |     21,809 |    184,411 |
| trezor-firmware/core/embed/boardloader                                                                                                                    |          4 |        295 |         31 |         93 |        419 |
| trezor-firmware/core/embed/bootloader                                                                                                                     |         16 |      2,394 |        278 |        491 |      3,163 |
| trezor-firmware/core/embed/bootloader (Files)                                                                                                             |         12 |      1,938 |        265 |        394 |      2,597 |
| trezor-firmware/core/embed/bootloader/protob                                                                                                              |          4 |        456 |         13 |         97 |        566 |
| trezor-firmware/core/embed/bootloader_ci                                                                                                                  |         18 |      1,432 |        185 |        306 |      1,923 |
| trezor-firmware/core/embed/bootloader_ci (Files)                                                                                                          |         14 |        976 |        172 |        209 |      1,357 |
| trezor-firmware/core/embed/bootloader_ci/protob                                                                                                           |          4 |        456 |         13 |         97 |        566 |
| trezor-firmware/core/embed/extmod                                                                                                                         |         64 |     11,820 |      3,438 |      1,996 |     17,254 |
| trezor-firmware/core/embed/extmod (Files)                                                                                                                 |          4 |        180 |         93 |         39 |        312 |
| trezor-firmware/core/embed/extmod/modtrezorconfig                                                                                                         |          2 |        325 |        138 |         43 |        506 |
| trezor-firmware/core/embed/extmod/modtrezorcrypto                                                                                                         |         37 |      5,544 |      1,774 |        673 |      7,991 |
| trezor-firmware/core/embed/extmod/modtrezorio                                                                                                             |         17 |      4,672 |      1,170 |      1,038 |      6,880 |
| trezor-firmware/core/embed/extmod/modtrezorui                                                                                                             |          2 |        133 |         79 |         23 |        235 |
| trezor-firmware/core/embed/extmod/modtrezorutils                                                                                                          |          2 |        966 |        184 |        180 |      1,330 |
| trezor-firmware/core/embed/firmware                                                                                                                       |         11 |        755 |        310 |        192 |      1,257 |
| trezor-firmware/core/embed/lib                                                                                                                            |         68 |      6,154 |      1,019 |        818 |      7,991 |
| trezor-firmware/core/embed/lib (Files)                                                                                                                    |         34 |      2,473 |        878 |        618 |      3,969 |
| trezor-firmware/core/embed/lib/fonts                                                                                                                      |         34 |      3,681 |        141 |        200 |      4,022 |
| trezor-firmware/core/embed/models                                                                                                                         |         73 |     13,946 |         40 |        350 |     14,336 |
| trezor-firmware/core/embed/models (Files)                                                                                                                 |          3 |         61 |          1 |         13 |         75 |
| trezor-firmware/core/embed/models/D001                                                                                                                    |          6 |        214 |          2 |         27 |        243 |
| trezor-firmware/core/embed/models/D001 (Files)                                                                                                            |          3 |        145 |          2 |         18 |        165 |
| trezor-firmware/core/embed/models/D001/boards                                                                                                             |          1 |         25 |          0 |          7 |         32 |
| trezor-firmware/core/embed/models/D001/vendorheader                                                                                                       |          2 |         44 |          0 |          2 |         46 |
